Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
truffle-bear-cushion,Truffle Bear Cushion,"<p><meta charset=""utf-8"">The Wigiwama Bear Cushion is a charming decor accessory, perfect for any kids' bedroom or playroom. Thoughtfully made for kids, its adorable bear ears and soft design make it ideal for cuddling, playing, or decorating a cosy reading nook. Whether paired with a beanbag or play sofa, this huggable cushion adds warmth and whimsy to any space.</p>",Wigiwama,Cushion,"bear cushion, cushion, decor, yeti",TRUE,Title,Default Title,,,,,W000113,580,,0,deny,manual,64.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/DSF5310-Edit_1.webp?v=1760619369,1,FALSE,,,,,,,,,,,,,,,,,,,
honey-yeti-beanbag,Honey Yeti Beanbag,"<p><meta charset=""utf-8"">The Yeti Beanbag is a fluffy kids beanbag chair made with soft, textured fabric that feels as cosy as it looks. Lightweight and easy to move, it’s the perfect lounge spot for reading, playing, or relaxing. Designed to be both cute and stylish, it brings a modern, aesthetic touch to any kids’ room.</p>",Wigiwama,Yeti Beanbag,"beanbag, honey, seating, yeti, yeti beanbag",TRUE,Title,Default Title,,,,,W000069,5700,,0,deny,manual,254.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/honey-yeti-beanbag.webp?v=1758104850,1,FALSE,,,,,,,,,,,,,,,,,,,
blush-yeti-beanbag,Blush Yeti Beanbag,"<p><meta charset=""utf-8"">The Yeti Beanbag is a fluffy kids beanbag chair made with soft, textured fabric that feels as cosy as it looks. Lightweight and easy to move, it’s the perfect lounge spot for reading, playing, or relaxing. Designed to be both cute and stylish, it brings a modern, aesthetic touch to any kids’ room.</p>",Wigiwama,Yeti Beanbag,"beanbag, blush, seating, yeti, yeti beanbag",TRUE,Title,Default Title,,,,,W000076,5700,,0,deny,manual,254.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/blush-yeti-beanbag_847da73e-42b4-4fa7-8651-a6a03dcfb7cd.webp?v=1758288246,1,FALSE,,,,,,,,,,,,,,,,,,,
truffle-yeti-beanbag,Truffle Yeti Beanbag,"<p><meta charset=""utf-8"">The Yeti Beanbag is a fluffy kids beanbag chair made with soft, textured fabric that feels as cosy as it looks. Lightweight and easy to move, it’s the perfect lounge spot for reading, playing, or relaxing. Designed to be both cute and stylish, it brings a modern, aesthetic touch to any kids’ room.</p>",Wigiwama,Yeti Beanbag,"beanbag, seating, truffle, yeti, yeti beanbag",TRUE,Title,Default Title,,,,,W000083,5700,,0,deny,manual,254.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/truffle-yeti-beanbag.webp?v=1758311253,1,FALSE,,,,,,,,,,,,,,,,,,,
honey-bear-cushion,Honey Bear Cushion,"<p><meta charset=""utf-8"">The Wigiwama Bear Cushion is a charming decor accessory, perfect for any kids' bedroom or playroom. Thoughtfully made for kids, its adorable bear ears and soft design make it ideal for cuddling, playing, or decorating a cosy reading nook. Whether paired with a beanbag or play sofa, this huggable cushion adds warmth and whimsy to any space.</p>",Wigiwama,Cushion,"bear cushion, cushion, decor, yeti",TRUE,Title,Default Title,,,,,W000090,580,,0,deny,manual,64.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/DSF5314-Edit.webp?v=1759413624,1,FALSE,,,,,,,,,,,,,,,,,,,
blush-bear-cushion,Blush Bear Cushion,"<p><meta charset=""utf-8"">The Wigiwama Bear Cushion is a charming decor accessory, perfect for any kids' bedroom or playroom. Thoughtfully made for kids, its adorable bear ears and soft design make it ideal for cuddling, playing, or decorating a cosy reading nook. Whether paired with a beanbag or play sofa, this huggable cushion adds warmth and whimsy to any space.</p>",Wigiwama,Cushion,"bear cushion, cushion, decor, yeti",TRUE,Title,Default Title,,,,,W000106,580,,0,deny,manual,64.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/DSF5311-Edit.webp?v=1759474762,1,FALSE,,,,,,,,,,,,,,,,,,,
docapp-free-gift-cream-white-star-cushion-1,Cream White Star Cushion,"<p dir=""ltr""><span>The Wigiwama Star Cushion is a magical decor accessory for any kids' bedroom or playroom. Thoughtfully made for kids, its soft, huggable design makes it perfect for both decoration and play. Whether paired with a beanbag or play sofa, this charming cushion brings a cosy and whimsical touch to any space.</span></p>",Wigiwama,Gift,"__hidden, add-on, bonsai_excluded, cream white, cushion, decor, Exclude From Back In Stock, exclude_rebuy, exclude_recommendations, exclude_review, hidden, Hidden recommendation, Hide, judgeme_excluded, NO, nocart, not-on-sale, SEARCHANISE_IGNORE, spo-default, spo-disabled, star cushion, teddy",TRUE,Title,Default Title,,,,,W597249,600,,0,deny,manual,0.00,43.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/DSF5911-Edit.webp?v=1738925535,1,FALSE,,,,,,,,,,,,,,,,,,,
docapp-free-gift-teddy-tote-bag-1,Teddy Tote Bag,,Wigiwama,Gift,"__hidden, bonsai_excluded, Exclude From Back In Stock, exclude_rebuy, exclude_recommendations, exclude_review, gift, hidden, Hidden recommendation, Hide, judgeme_excluded, NO, nocart, not-on-sale, SEARCHANISE_IGNORE, spo-default, spo-disabled",TRUE,Title,Default Title,,,,,W599328,300,,0,deny,manual,0.00,49.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/DSF7794-Edit.webp?v=1755848845,1,FALSE,,,,,,,,,,,,,,,,,,,
docapp-free-gift-free-biscuit-star-cushion,Biscuit Star Cushion,"<p dir=""ltr""><span>The Wigiwama Star Cushion is a magical decor accessory for any kids' bedroom or playroom. Thoughtfully made for kids, its soft, huggable design makes it perfect for both decoration and play. Whether paired with a beanbag or play sofa, this charming cushion brings a cosy and whimsical touch to any space.</span></p>",Wigiwama,Gift,"__hidden, biscuit, bonsai_excluded, cushion, decor, Exclude From Back In Stock, exclude_rebuy, exclude_recommendations, exclude_review, hidden, Hidden recommendation, Hide, judgeme_excluded, NO, nocart, not-on-sale, SEARCHANISE_IGNORE, spo-default, spo-disabled, star cushion, teddy",TRUE,Title,Default Title,,,,,W598109,600,,0,deny,manual,0.00,43.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/DSF5909-Edit_1296x_6f4df9d6-d713-4ff8-981f-33a268b88d98.webp?v=1738925290,1,FALSE,,,,,,,,,,,,,,,,,,,
docapp-free-gift-free-peppermint-green-mini-beanbag,Peppermint Green Mini Beanbag,"<p><meta charset=""utf-8"">A charming miniature version of our beloved beanbag chair—perfect for dolls, plushies, or as a keepsake. Crafted with the same attention to detail and soft materials as our full-size pieces, it's a delightful addition to any playroom or nursery shelf.</p>",Wigiwama,Gift,"__hidden, add-on, bonsai_excluded, Exclude From Back In Stock, exclude_rebuy, exclude_recommendations, exclude_review, gift, hidden, Hidden recommendation, Hide, judgeme_excluded, NO, nocart, not-on-sale, SEARCHANISE_IGNORE, spo-default, spo-disabled",TRUE,Title,Default Title,,,,,W000021,95,,0,deny,manual,0.00,39.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0995/7378/files/Mini_Beanbag_chair_peppermint_green.webp?v=1750060678,1,FALSE,,,,,,,,,,,,,,,,,,,
